Gradient Profiler Text Data File: hct116_polysome_rich.csv
Version: 1.88
Date: 2017-02-13
Time: 16:51:40

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
17.53, 0.065380, , 
17.57, 0.065633, , 
17.60, 0.065923, , 
17.64, 0.066286, , 
17.68, 0.066666, , 
17.71, 0.066991, , 
17.75, 0.067394, , 
17.79, 0.067784, , 
17.82, 0.068195, , 
17.86, 0.068766, , 
17.90, 0.069319, , 
17.93, 0.069921, , 
17.97, 0.070591, , 
18.01, 0.071309, , 
18.04, 0.072049, , 
18.08, 0.072830, , 
18.12, 0.073625, , 
18.15, 0.074285, , 
18.19, 0.075373, , 
18.23, 0.076345, , 
18.26, 0.077354, , 
18.30, 0.078470, , 
18.34, 0.079679, , 
18.37, 0.080835, , 
18.41, 0.082181, , 
18.45, 0.083446, , 
18.48, 0.084536, , 
18.52, 0.086055, , 
18.56, 0.087543, , 
18.59, 0.088570, , 
18.63, 0.090101, , 
18.67, 0.091598, , 
18.70, 0.093031, , 
18.74, 0.094226, , 
18.78, 0.095713, , 
18.81, 0.097039, , 
18.85, 0.098340, , 
18.89, 0.099680, , 
18.92, 0.100937, , 
18.96, 0.102275, , 
19.00, 0.103510, , 
19.03, 0.104440, , 
19.07, 0.105669, , 
19.11, 0.106712, , 
19.14, 0.107745, , 
19.18, 0.108488, , 
19.22, 0.109432, , 
19.25, 0.110171, , 
19.29, 0.110927, , 
19.33, 0.111616, , 
19.36, 0.112082, , 
19.40, 0.112683, , 
19.44, 0.113121, , 
19.47, 0.113413, , 
19.51, 0.113702, , 
19.55, 0.113902, , 
19.58, 0.114019, , 
19.62, 0.113978, , 
19.66, 0.114073, , 
19.69, 0.114041, , 
19.73, 0.114035, , 
19.77, 0.113906, , 
19.80, 0.113672, , 
19.84, 0.113446, , 
19.88, 0.113002, , 
19.91, 0.112742, , 
19.95, 0.112308, , 
19.99, 0.111846, , 
20.02, 0.111422, , 
20.06, 0.110932, , 
20.10, 0.110433, , 
20.13, 0.109882, , 
20.17, 0.109263, , 
20.21, 0.108506, , 
20.24, 0.107780, , 
20.28, 0.107261, , 
20.32, 0.106573, , 
20.35, 0.106004, , 
20.39, 0.105235, , 
20.43, 0.104430, , 
20.46, 0.103671, , 
20.50, 0.102933, , 
20.54, 0.102196, , 
20.57, 0.101436, , 
20.61, 0.100675, , 
20.65, 0.099870, , 
20.68, 0.099190, , 
20.72, 0.098534, , 
20.76, 0.097870, , 
20.79, 0.097367, , 
20.83, 0.096577, , 
20.87, 0.095806, , 
20.90, 0.095019, , 
20.94, 0.094464, , 
20.98, 0.093848, , 
21.01, 0.093158, , 
