Gradient Profiler Text Data File: hct116_polysome_arg.csv
Version: 1.88
Date: 2017-02-13
Time: 17:08:30

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
12.43, 0.576664, , 
12.47, 0.576503, , 
12.51, 0.576301, , 
12.54, 0.576253, , 
12.58, 0.576255, , 
12.62, 0.576180, , 
12.65, 0.576061, , 
12.69, 0.575841, , 
12.73, 0.575801, , 
12.76, 0.575770, , 
12.80, 0.575744, , 
12.84, 0.575722, , 
12.87, 0.575464, , 
12.91, 0.575353, , 
12.95, 0.575270, , 
12.98, 0.575272, , 
13.02, 0.575274, , 
13.06, 0.575224, , 
13.09, 0.575131, , 
13.13, 0.574887, , 
13.17, 0.574786, , 
13.20, 0.574727, , 
13.24, 0.574733, , 
13.28, 0.574735, , 
13.31, 0.574671, , 
13.35, 0.574751, , 
13.39, 0.574685, , 
13.42, 0.574717, , 
13.46, 0.574751, , 
13.50, 0.574667, , 
13.53, 0.574751, , 
13.57, 0.574709, , 
13.61, 0.574761, , 
13.64, 0.574731, , 
13.68, 0.574653, , 
13.72, 0.574487, , 
13.75, 0.574305, , 
13.79, 0.574277, , 
13.83, 0.574019, , 
13.86, 0.573853, , 
13.90, 0.573589, , 
13.94, 0.573303, , 
13.97, 0.573103, , 
14.01, 0.572764, , 
14.05, 0.572461, , 
14.08, 0.572011, , 
14.12, 0.571610, , 
14.16, 0.571206, , 
14.19, 0.570607, , 
14.23, 0.570072, , 
14.27, 0.569434, , 
14.30, 0.568894, , 
14.34, 0.567885, , 
14.38, 0.566880, , 
14.41, 0.566052, , 
14.45, 0.565007, , 
14.49, 0.563800, , 
14.52, 0.562608, , 
14.56, 0.561347, , 
14.60, 0.559866, , 
14.63, 0.558397, , 
14.67, 0.556772, , 
14.71, 0.554815, , 
14.74, 0.553259, , 
14.78, 0.551203, , 
14.82, 0.549536, , 
14.85, 0.547220, , 
14.89, 0.545067, , 
14.93, 0.542530, , 
14.96, 0.540081, , 
15.00, 0.537433, , 
15.04, 0.534687, , 
15.07, 0.531967, , 
15.11, 0.528539, , 
15.15, 0.525066, , 
15.18, 0.522307, , 
15.22, 0.518276, , 
15.26, 0.514290, , 
15.29, 0.510650, , 
15.33, 0.506459, , 
15.37, 0.501967, , 
15.40, 0.497829, , 
15.44, 0.492776, , 
15.48, 0.488210, , 
15.51, 0.483615, , 
15.55, 0.478028, , 
15.59, 0.472367, , 
15.62, 0.468065, , 
15.66, 0.462004, , 
15.70, 0.455983, , 
15.73, 0.450734, , 
15.77, 0.444796, , 
15.81, 0.438476, , 
15.84, 0.432858, , 
15.88, 0.426072, , 
15.92, 0.420093, , 
15.95, 0.414233, , 
15.99, 0.407241, , 
16.03, 0.400368, , 
16.06, 0.395138, , 
16.10, 0.387953, , 
16.14, 0.381050, , 
16.17, 0.375161, , 
16.21, 0.368609, , 
16.25, 0.361787, , 
16.28, 0.355871, , 
16.32, 0.349006, , 
16.36, 0.343112, , 
16.39, 0.337496, , 
16.43, 0.330926, , 
16.47, 0.324634, , 
16.50, 0.320013, , 
16.54, 0.313807, , 
16.58, 0.308021, , 
16.61, 0.303354, , 
16.65, 0.297785, , 
16.69, 0.293111, , 
16.72, 0.288767, , 
16.76, 0.283862, , 
16.80, 0.279378, , 
16.83, 0.276089, , 
16.87, 0.272035, , 
16.91, 0.268155, , 
16.94, 0.264801, , 
16.98, 0.261667, , 
17.02, 0.258126, , 
17.05, 0.255170, , 
17.09, 0.251915, , 
17.13, 0.249342, , 
17.16, 0.246554, , 
17.20, 0.243733, , 
17.24, 0.240934, , 
17.27, 0.238823, , 
17.31, 0.236182, , 
17.35, 0.233690, , 
17.38, 0.231690, , 
17.42, 0.229838, , 
17.46, 0.227739, , 
17.49, 0.226046, , 
17.53, 0.224081, , 
17.57, 0.222509, , 
17.60, 0.220838, , 
17.64, 0.219208, , 
17.68, 0.217613, , 
17.71, 0.216449, , 
17.75, 0.215121, , 
17.79, 0.213840, , 
17.82, 0.212880, , 
17.86, 0.212034, , 
17.90, 0.211104, , 
17.93, 0.210476, , 
17.97, 0.209859, , 
18.01, 0.209526, , 
18.04, 0.209167, , 
18.08, 0.208916, , 
18.12, 0.208775, , 
18.15, 0.208640, , 
18.19, 0.208491, , 
18.23, 0.208249, , 
18.26, 0.208228, , 
18.30, 0.208186, , 
18.34, 0.208144, , 
18.37, 0.208081, , 
18.41, 0.207791, , 
18.45, 0.207696, , 
18.48, 0.207443, , 
18.52, 0.207155, , 
18.56, 0.206790, , 
18.59, 0.206422, , 
18.63, 0.206033, , 
18.67, 0.205351, , 
18.70, 0.204703, , 
18.74, 0.203951, , 
18.78, 0.203184, , 
18.81, 0.202354, , 
18.85, 0.201285, , 
18.89, 0.200395, , 
18.92, 0.199199, , 
18.96, 0.197917, , 
19.00, 0.196503, , 
19.03, 0.195171, , 
19.07, 0.193659, , 
19.11, 0.191985, , 
19.14, 0.190536, , 
19.18, 0.189049, , 
19.22, 0.187398, , 
19.25, 0.185713, , 
19.29, 0.183887, , 
19.33, 0.182351, , 
19.36, 0.180459, , 
19.40, 0.178566, , 
19.44, 0.176718, , 
19.47, 0.175087, , 
19.51, 0.173297, , 
19.55, 0.171437, , 
19.58, 0.169720, , 
19.62, 0.167956, , 
19.66, 0.166227, , 
19.69, 0.164532, , 
19.73, 0.162691, , 
19.77, 0.161247, , 
19.80, 0.159507, , 
19.84, 0.157699, , 
19.88, 0.156045, , 
19.91, 0.154632, , 
19.95, 0.153080, , 
19.99, 0.151400, , 
20.02, 0.149920, , 
20.06, 0.148462, , 
20.10, 0.146926, , 
20.13, 0.145447, , 
20.17, 0.143812, , 
20.21, 0.142497, , 
20.24, 0.141278, , 
20.28, 0.139999, , 
20.32, 0.138677, , 
20.35, 0.137454, , 
20.39, 0.136411, , 
20.43, 0.135289, , 
20.46, 0.134209, , 
20.50, 0.133015, , 
20.54, 0.132115, , 
20.57, 0.131090, , 
20.61, 0.129998, , 
20.65, 0.129036, , 
20.68, 0.128186, , 
20.72, 0.127242, , 
20.76, 0.126281, , 
20.79, 0.125333, , 
20.83, 0.124558, , 
20.87, 0.123587, , 
20.90, 0.122926, , 
20.94, 0.122046, , 
20.98, 0.121327, , 
21.01, 0.120432, , 
21.05, 0.119402, , 
21.09, 0.118579, , 
21.12, 0.117921, , 
21.16, 0.117138, , 
21.20, 0.116261, , 
21.23, 0.115544, , 
21.27, 0.114856, , 
21.31, 0.113954, , 
21.34, 0.113302, , 
21.38, 0.112413, , 
21.42, 0.111751, , 
21.45, 0.111093, , 
21.49, 0.110467, , 
21.53, 0.109850, , 
21.56, 0.109283, , 
21.60, 0.108700, , 
21.64, 0.108034, , 
21.67, 0.107471, , 
21.71, 0.106972, , 
21.75, 0.106288, , 
21.78, 0.105836, , 
21.82, 0.105167, , 
21.86, 0.104648, , 
21.89, 0.104105, , 
21.93, 0.103526, , 
21.97, 0.103090, , 
22.00, 0.102608, , 
22.04, 0.102061, , 
22.08, 0.101478, , 
22.11, 0.101070, , 
22.15, 0.100677, , 
22.19, 0.100227, , 
22.22, 0.099928, , 
22.26, 0.099446, , 
22.30, 0.099117, , 
22.33, 0.098768, , 
22.37, 0.098302, , 
22.41, 0.097969, , 
22.44, 0.097614, , 
22.48, 0.097267, , 
22.52, 0.096861, , 
22.55, 0.096619, , 
22.59, 0.096349, , 
22.63, 0.096026, , 
22.66, 0.095816, , 
22.70, 0.095475, , 
22.74, 0.095261, , 
22.77, 0.095011, , 
22.81, 0.094684, , 
22.85, 0.094363, , 
22.88, 0.094111, , 
22.92, 0.093984, , 
22.96, 0.093707, , 
22.99, 0.093634, , 
23.03, 0.093515, , 
23.07, 0.093229, , 
23.10, 0.093138, , 
23.14, 0.093013, , 
23.18, 0.092987, , 
23.21, 0.092797, , 
23.25, 0.092613, , 
23.29, 0.092605, , 
23.32, 0.092539, , 
23.36, 0.092601, , 
23.40, 0.092555, , 
23.43, 0.092700, , 
23.47, 0.092934, , 
23.51, 0.092991, , 
23.54, 0.093176, , 
23.58, 0.093334, , 
23.62, 0.093606, , 
23.65, 0.093986, , 
23.69, 0.094448, , 
23.73, 0.095049, , 
23.76, 0.095469, , 
23.80, 0.096137, , 
23.84, 0.096948, , 
23.87, 0.097819, , 
23.91, 0.098986, , 
23.95, 0.100178, , 
23.98, 0.101565, , 
24.02, 0.103149, , 
24.06, 0.104819, , 
24.09, 0.106638, , 
24.13, 0.109041, , 
24.17, 0.111618, , 
24.20, 0.114055, , 
24.24, 0.116997, , 
24.28, 0.120379, , 
24.31, 0.123646, , 
24.35, 0.127436, , 
24.39, 0.131633, , 
24.42, 0.135721, , 
24.46, 0.140866, , 
24.50, 0.146216, , 
24.53, 0.150473, , 
24.57, 0.156541, , 
24.61, 0.162625, , 
24.64, 0.168231, , 
24.68, 0.173969, , 
24.72, 0.180893, , 
24.75, 0.187079, , 
24.79, 0.193940, , 
24.83, 0.199939, , 
24.86, 0.206568, , 
24.90, 0.213424, , 
24.94, 0.220283, , 
24.97, 0.225457, , 
25.01, 0.232257, , 
25.05, 0.238730, , 
25.08, 0.244382, , 
25.12, 0.249605, , 
25.16, 0.255593, , 
25.19, 0.260717, , 
25.23, 0.266169, , 
25.27, 0.270709, , 
25.30, 0.275485, , 
25.34, 0.280028, , 
25.38, 0.284336, , 
25.41, 0.287419, , 
25.45, 0.291362, , 
25.49, 0.294988, , 
25.52, 0.297777, , 
25.56, 0.300584, , 
25.60, 0.303271, , 
25.63, 0.305483, , 
25.67, 0.307824, , 
25.71, 0.309519, , 
25.74, 0.311076, , 
25.78, 0.312715, , 
25.82, 0.314109, , 
25.85, 0.315029, , 
25.89, 0.316125, , 
25.93, 0.316872, , 
25.96, 0.317412, , 
26.00, 0.317931, , 
26.04, 0.318288, , 
26.07, 0.318438, , 
26.11, 0.318524, , 
26.15, 0.318462, , 
26.18, 0.318337, , 
26.22, 0.317982, , 
26.26, 0.317550, , 
26.29, 0.317090, , 
26.33, 0.316539, , 
26.37, 0.315966, , 
26.40, 0.315348, , 
26.44, 0.314773, , 
26.48, 0.313887, , 
26.51, 0.313179, , 
26.55, 0.312295, , 
26.59, 0.311323, , 
26.62, 0.310544, , 
26.66, 0.309658, , 
26.70, 0.308802, , 
26.73, 0.307991, , 
26.77, 0.307018, , 
26.81, 0.306066, , 
