Gradient Profiler Text Data File: hct116_polysome_leu.csv
Version: 1.88
Date: 2017-02-13
Time: 17:00:15

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
15.22, 0.078664, , 
15.26, 0.078317, , 
15.29, 0.077988, , 
15.33, 0.077742, , 
15.37, 0.077530, , 
15.40, 0.077367, , 
15.44, 0.077096, , 
15.48, 0.076870, , 
15.51, 0.076670, , 
15.55, 0.076469, , 
15.59, 0.076281, , 
15.62, 0.076105, , 
15.66, 0.075900, , 
15.70, 0.075657, , 
15.73, 0.075417, , 
15.77, 0.075197, , 
15.81, 0.074947, , 
15.84, 0.074840, , 
15.88, 0.074648, , 
15.92, 0.074548, , 
15.95, 0.074336, , 
15.99, 0.074180, , 
16.03, 0.074152, , 
16.06, 0.073908, , 
16.10, 0.073724, , 
16.14, 0.073601, , 
16.17, 0.073573, , 
16.21, 0.073533, , 
16.25, 0.073339, , 
16.28, 0.073220, , 
16.32, 0.073073, , 
16.36, 0.073099, , 
16.39, 0.073058, , 
16.43, 0.073030, , 
16.47, 0.073091, , 
16.50, 0.073067, , 
16.54, 0.073113, , 
16.58, 0.073048, , 
16.61, 0.073097, , 
16.65, 0.073097, , 
16.69, 0.073028, , 
16.72, 0.073101, , 
16.76, 0.073167, , 
16.80, 0.073422, , 
16.83, 0.073518, , 
16.87, 0.073549, , 
16.91, 0.073577, , 
16.94, 0.073597, , 
16.98, 0.073874, , 
17.02, 0.073964, , 
17.05, 0.074033, , 
17.09, 0.074079, , 
17.13, 0.074186, , 
17.16, 0.074398, , 
17.20, 0.074479, , 
17.24, 0.074590, , 
17.27, 0.074602, , 
17.31, 0.074745, , 
17.35, 0.074994, , 
17.38, 0.074994, , 
17.42, 0.075218, , 
17.46, 0.075395, , 
17.49, 0.075667, , 
17.53, 0.075948, , 
17.57, 0.076182, , 
17.60, 0.076479, , 
17.64, 0.076836, , 
17.68, 0.077250, , 
17.71, 0.077647, , 
17.75, 0.078133, , 
17.79, 0.078688, , 
17.82, 0.079237, , 
17.86, 0.080066, , 
17.90, 0.080720, , 
17.93, 0.081473, , 
17.97, 0.082542, , 
18.01, 0.083541, , 
18.04, 0.084423, , 
18.08, 0.085569, , 
18.12, 0.086885, , 
18.15, 0.088106, , 
18.19, 0.089518, , 
18.23, 0.091130, , 
18.26, 0.092521, , 
18.30, 0.094210, , 
18.34, 0.095650, , 
18.37, 0.097232, , 
18.41, 0.099042, , 
18.45, 0.101046, , 
18.48, 0.102783, , 
18.52, 0.104537, , 
18.56, 0.106502, , 
18.59, 0.108155, , 
18.63, 0.110268, , 
18.67, 0.112108, , 
18.70, 0.113712, , 
18.74, 0.115734, , 
18.78, 0.117312, , 
18.81, 0.118880, , 
18.85, 0.120825, , 
18.89, 0.122480, , 
18.92, 0.123880, , 
18.96, 0.125198, , 
19.00, 0.126645, , 
19.03, 0.127764, , 
19.07, 0.129044, , 
19.11, 0.130123, , 
19.14, 0.130935, , 
19.18, 0.131863, , 
19.22, 0.132490, , 
19.25, 0.132989, , 
19.29, 0.133612, , 
19.33, 0.134074, , 
19.36, 0.134385, , 
19.40, 0.134427, , 
19.44, 0.134544, , 
19.47, 0.134506, , 
19.51, 0.134498, , 
19.55, 0.134559, , 
19.58, 0.134385, , 
19.62, 0.134127, , 
19.66, 0.133715, , 
19.69, 0.133459, , 
19.73, 0.132971, , 
19.77, 0.132311, , 
19.80, 0.131681, , 
19.84, 0.131056, , 
19.88, 0.130511, , 
19.91, 0.129863, , 
19.95, 0.128939, , 
19.99, 0.128075, , 
20.02, 0.127131, , 
20.06, 0.126316, , 
20.10, 0.125496, , 
20.13, 0.124818, , 
20.17, 0.123939, , 
20.21, 0.122960, , 
20.24, 0.122121, , 
20.28, 0.121307, , 
20.32, 0.120520, , 
20.35, 0.119628, , 
20.39, 0.118622, , 
20.43, 0.117831, , 
20.46, 0.117391, , 
20.50, 0.116299, , 
20.54, 0.115381, , 
20.57, 0.114747, , 
20.61, 0.113946, , 
20.65, 0.113131, , 
20.68, 0.112415, , 
20.72, 0.111906, , 
20.76, 0.110879, , 
20.79, 0.110124, , 
20.83, 0.109317, , 
20.87, 0.108676, , 
20.90, 0.108070, , 
20.94, 0.107511, , 
20.98, 0.107148, , 
21.01, 0.106399, , 
21.05, 0.105717, , 
21.09, 0.105066, , 
21.12, 0.104593, , 
21.16, 0.103970, , 
21.20, 0.103457, , 
21.23, 0.103314, , 
21.27, 0.102561, , 
21.31, 0.101972, , 
21.34, 0.101476, , 
21.38, 0.100977, , 
21.42, 0.100471, , 
21.45, 0.100106, , 
21.49, 0.099904, , 
21.53, 0.099333, , 
21.56, 0.098984, , 
21.60, 0.098546, , 
21.64, 0.098048, , 
21.67, 0.097585, , 
21.71, 0.097255, , 
21.75, 0.097031, , 
21.78, 0.096667, , 
21.82, 0.096296, , 
21.86, 0.095866, , 
21.89, 0.095699, , 
21.93, 0.095390, , 
21.97, 0.095021, , 
22.00, 0.094728, , 
22.04, 0.094403, , 
22.08, 0.094155, , 
22.11, 0.093828, , 
22.15, 0.093521, , 
