Gradient Profiler Text Data File: 1100rnasei_andreev2.csv,,,
Version: 1.88,,,
Date: 2016-01-12,,,
Time: 16:04:09,,,
,,,
User: Alicia,,,
Experiment name: 20160112_rnasecheck3,,,
UV Unit: EM-1,,,
Rotor Manufacturer: Beckman,,,
Rotor Model: SW41Ti,,,
Speed: 35000 rpm,,,
Gradient: sucrose 10.0% to 50.0% w/v,,,
Time: 180,,,
w2t:  x 10^0,,,
Sample Volume: 0.12 ml,,,
Number of Tubes: 8,,,
Volume per mm: 0.143 ml/mm,,,
Temperature: 4.0 deg C,,,
,,,
Absorbance Units Full Scale (AUFS): 0.50,,,
Manual-triggered gradient; (with distance; but no event marks),,,
Delay: No Delay,,,
UV Wavelength: 254 nm,,,
Samples / sec: 8 Hz,,,
EM1 Speed: 0.22 mm/sec,,,
Distance: 2.02 mm,,,
Number: 52,,,
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm,,,
11.22,0.155106, , 
11.25,0.152867, , 
11.28,0.150811, , 
11.3,0.149286, , 
11.33,0.147755, , 
11.36,0.146422, , 
11.39,0.144957, , 
11.41,0.143508, , 
11.44,0.142091, , 
11.47,0.14178, , 
11.49,0.139991, , 
11.52,0.13822, , 
11.55,0.136983, , 
11.58,0.135757, , 
11.61,0.134536, , 
11.63,0.133384, , 
11.66,0.132395, , 
11.69,0.131212, , 
11.72,0.130074, , 
11.74,0.129342, , 
11.77,0.127875, , 
11.8,0.126813, , 
11.82,0.125897, , 
11.85,0.124842, , 
11.88,0.123817, , 
11.91,0.122819, , 
11.94,0.121847, , 
11.96,0.120999, , 
11.99,0.120138, , 
12.02,0.119189, , 
12.05,0.118281, , 
12.07,0.117412, , 
12.1,0.116715, , 
12.13,0.115756, , 
12.15,0.114928, , 
12.18,0.114015, , 
12.21,0.113169, , 
12.24,0.112259, , 
12.27,0.111563, , 
12.29,0.110722, , 
12.32,0.109872, , 
12.35,0.109078, , 
12.38,0.108295, , 
12.4,0.107599, , 
12.43,0.106864, , 
12.46,0.106144, , 
12.48,0.105426, , 
12.51,0.104742, , 
12.54,0.104104, , 
12.57,0.103453, , 
12.6,0.102772, , 
12.62,0.102128, , 
12.65,0.101406, , 
12.68,0.100702, , 
12.71,0.100145, , 
12.73,0.099491, , 
12.76,0.098857, , 
12.79,0.098178, , 
12.82,0.097524, , 
12.84,0.096928, , 
12.87,0.096314, , 
12.9,0.095628, , 
12.93,0.094964, , 
12.95,0.094327, , 
12.98,0.093737, , 
13.01,0.093168, , 
13.04,0.092591, , 
13.06,0.092054, , 
13.09,0.091506, , 
13.12,0.0909, , 
13.15,0.090465, , 
13.17,0.089942, , 
13.2,0.089437, , 
13.23,0.088919, , 
13.26,0.088434, , 
13.29,0.087914, , 
13.31,0.087539, , 
13.34,0.087047, , 
13.37,0.086579, , 
13.39,0.086156, , 
13.42,0.085763, , 
13.45,0.085429, , 
13.48,0.085008, , 
13.5,0.084629, , 
13.53,0.084212, , 
13.56,0.083814, , 
13.59,0.083531, , 
13.61,0.083146, , 
13.64,0.082789, , 
13.67,0.082496, , 
13.7,0.082213, , 
13.73,0.081882, , 
13.75,0.081627, , 
13.78,0.081344, , 
13.81,0.081057, , 
13.83,0.080783, , 
13.86,0.080568, , 
13.89,0.080358, , 
13.91,0.080144, , 
13.94,0.079956, , 
13.97,0.079774, , 
